date,geography,geography code,Rural Urban,Religion: All categories: Religion; measures: Value,Religion: Has religion; measures: Value,Religion: Christian; measures: Value,Religion: Buddhist; measures: Value,Religion: Hindu; measures: Value,Religion: Jewish; measures: Value,Religion: Muslim; measures: Value,Religion: Sikh; measures: Value,Religion: Other religion; measures: Value,Religion: No religion; measures: Value,Religion: Religion not stated; measures: Value
2011,Enfield,E09000010,Total,312466,76.73,53.58,0.58,3.5,1.41,16.69,0.34,0.62,15.53,7.74
2011,Greenwich,E09000011,Total,254557,66.9,52.89,1.66,3.57,0.19,6.82,1.37,0.4,25.55,7.56
2011,Harrow,E09000015,Total,239056,84.25,37.31,1.13,25.27,4.41,12.5,1.15,2.49,9.57,6.18
2011,Havering,E09000016,Total,237232,70.77,65.59,0.32,1.25,0.49,2.04,0.81,0.27,22.57,6.66
2011,Hillingdon,E09000017,Total,273936,76.64,49.21,0.87,8.04,0.64,10.61,6.65,0.61,16.97,6.39
2011,Hounslow,E09000018,Total,253957,77.63,42.0,1.42,10.34,0.26,14.04,8.96,0.61,15.89,6.48
2011,Kingston upon Thames,E09000021,Total,160060,66.38,52.91,1.11,4.69,0.48,5.92,0.77,0.5,25.73,7.89
2011,Merton,E09000024,Total,199693,72.33,56.08,0.94,6.11,0.4,8.14,0.25,0.41,20.65,7.02
2011,Redbridge,E09000026,Total,278970,82.53,36.83,0.66,11.36,3.66,23.3,6.23,0.48,11.0,6.47
2011,Richmond upon Thames,E09000027,Total,186990,63.08,55.25,0.84,1.63,0.75,3.28,0.85,0.48,28.45,8.47
2011,Sutton,E09000029,Total,190146,68.28,58.42,0.72,4.23,0.26,4.06,0.17,0.42,24.62,7.1
2011,Waltham Forest,E09000031,Total,258249,74.67,48.38,0.77,2.29,0.49,21.89,0.47,0.38,17.99,7.33
2011,Bracknell Forest,E06000036,Total,113205,64.99,60.53,0.73,1.61,0.16,1.13,0.4,0.43,28.43,6.58
2011,Brighton and Hove,E06000043,Total,273369,48.77,42.9,1.0,0.66,0.98,2.23,0.13,0.88,42.42,8.81
2011,Isle of Wight,E06000046,Total,138265,62.23,60.51,0.33,0.23,0.09,0.38,0.03,0.65,29.62,8.15
2011,Medway,E06000035,Total,263925,63.25,57.83,0.36,1.04,0.08,1.96,1.46,0.53,29.93,6.81
2011,Milton Keynes,E06000042,Total,248821,62.07,52.79,0.5,2.78,0.17,4.79,0.55,0.49,31.32,6.61
2011,Portsmouth,E06000044,Total,205056,57.72,52.18,0.57,0.63,0.11,3.49,0.23,0.51,35.03,7.25
2011,Reading,E06000038,Total,155698,63.2,50.0,1.2,3.64,0.23,7.07,0.61,0.45,29.5,7.3
2011,Slough,E06000039,Total,140205,82.18,41.17,0.53,6.16,0.06,23.29,10.62,0.34,12.14,5.67
2011,Southampton,E06000045,Total,236882,59.44,51.51,0.56,1.05,0.11,4.18,1.47,0.56,33.51,7.05
2011,West Berkshire,E06000037,Total,153822,66.16,63.64,0.32,0.72,0.14,0.79,0.15,0.39,26.68,7.16
2011,Windsor and Maidenhead,E06000040,Total,144560,71.32,62.29,0.54,1.84,0.33,3.93,2.03,0.35,21.69,6.99
2011,Wokingham,E06000041,Total,154380,66.73,59.53,0.37,2.06,0.33,2.82,1.32,0.29,26.0,7.27
2011,Aylesbury Vale,E07000004,Total,174137,67.4,61.69,0.38,0.78,0.18,3.9,0.14,0.34,25.57,7.03
2011,Chiltern,E07000005,Total,92635,68.8,63.21,0.35,1.3,0.55,2.49,0.53,0.37,23.55,7.64
2011,South Bucks,E07000006,Total,66867,73.25,62.27,0.46,2.52,0.43,2.49,4.73,0.34,19.85,6.91
2011,Wycombe,E07000007,Total,171644,68.7,57.2,0.53,1.17,0.23,8.75,0.45,0.38,24.23,7.07
2011,Eastbourne,E07000061,Total,99412,62.82,59.58,0.48,0.43,0.21,1.47,0.05,0.59,29.17,8.01
2011,Hastings,E07000062,Total,90254,55.11,51.89,0.53,0.47,0.16,1.28,0.04,0.74,36.64,8.26
2011,Lewes,E07000063,Total,97502,59.32,57.0,0.5,0.26,0.33,0.57,0.04,0.62,32.45,8.23
2011,Rother,E07000064,Total,90588,66.6,64.81,0.32,0.19,0.19,0.51,0.01,0.58,25.24,8.16
2011,Wealden,E07000065,Total,148915,65.77,64.01,0.3,0.15,0.16,0.38,0.02,0.76,26.29,7.93
2011,Basingstoke and Deane,E07000084,Total,167799,63.14,59.88,0.52,1.19,0.1,0.87,0.2,0.38,29.66,7.2
2011,East Hampshire,E07000085,Total,115608,66.22,64.65,0.34,0.24,0.14,0.36,0.04,0.44,26.28,7.5
2011,Eastleigh,E07000086,Total,125199,64.76,61.89,0.28,0.65,0.07,0.78,0.68,0.4,28.47,6.77
2011,Fareham,E07000087,Total,111581,65.35,63.77,0.25,0.27,0.06,0.48,0.07,0.46,27.4,7.24
2011,Gosport,E07000088,Total,82622,60.46,58.84,0.24,0.23,0.04,0.55,0.05,0.52,32.82,6.72
2011,Hart,E07000089,Total,91033,67.12,64.61,0.51,0.79,0.11,0.56,0.22,0.32,25.82,7.06
2011,Havant,E07000090,Total,120684,60.69,59.22,0.22,0.19,0.07,0.47,0.05,0.47,32.25,7.05
2011,New Forest,E07000091,Total,176462,66.51,65.18,0.24,0.12,0.12,0.27,0.04,0.52,25.71,7.78
2011,Rushmoor,E07000092,Total,93807,66.62,57.78,3.3,3.43,0.07,1.45,0.2,0.39,26.41,6.97
2011,Test Valley,E07000093,Total,116398,67.83,65.68,0.29,0.43,0.1,0.58,0.34,0.43,25.08,7.09
2011,Winchester,E07000094,Total,116595,65.27,63.24,0.49,0.39,0.15,0.48,0.11,0.42,27.28,7.45
2011,Ashford,E07000105,Total,117956,66.13,62.95,0.68,1.09,0.1,0.86,0.08,0.37,26.27,7.61
2011,Canterbury,E07000106,Total,151145,63.63,60.29,0.58,0.7,0.18,1.22,0.16,0.5,28.53,7.85
2011,Dartford,E07000107,Total,97365,66.23,60.64,0.39,1.59,0.09,1.61,1.58,0.33,27.2,6.56
2011,Dover,E07000108,Total,111674,66.21,64.06,0.47,0.61,0.09,0.47,0.04,0.47,26.01,7.78
2011,Gravesham,E07000109,Total,101720,72.22,60.84,0.33,0.93,0.05,1.86,7.61,0.6,21.49,6.29
2011,Maidstone,E07000110,Total,155143,66.14,62.9,0.58,0.96,0.11,1.09,0.11,0.39,26.75,7.12
2011,Sevenoaks,E07000111,Total,114893,67.23,65.43,0.32,0.34,0.17,0.52,0.16,0.3,25.19,7.58
2011,Folkestone and Hythe,E07000112,Total,107969,65.97,62.33,0.89,1.44,0.07,0.74,0.03,0.47,26.47,7.57
